FECHA DEL EVENTO;DIRECCIÓN;Tiempo de Respuesta;Tiempo total evento;M;M;M;M;M;M;M;M;M;M;total;R;R;R;R;R;R;Otro;total;Tte;Sto;Cbo;Bros;Otro;total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;ÁREA AFECTADA EN MTS 2;ÁREA EXPUESTA EN MTS 2;Población Expuesta Hombres;Población Expuesta Mujeres;Población Expuesta Menores;Población Afectada Hombres;Población Afectada Mujeres;Población Afectada Menores;Rescatados Hombres;Rescatados Mujeres;Rescatados Menores;Heridos Hombres;Heridos Mujeres;Heridos Menores;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales Menores
lunes 8 de enero de 2018;CL 170 22;00:11;01:09;ME20;;;;;;;;;;1;;;;;;;;0;;1;;4;;5;1. INCENDIOS ;1.2 VEHICULARES;;;;;;1.2.1 VEHICULO  PARTICULAR;1.2.1.1 AUTOMOVIL;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;1;;1;1;;;;;;;;;;
lunes 8 de enero de 2018;KR 128 145-70;00:07;00:53;ME32;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;1;1;;1;1;;;;;;;;;;
martes 9 de enero de 2018;CL 166A 65 05;00:05;02:21;ME20;;;;;;;;;;1;R14;;;;;;;1;;1;1;7;;9;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.9 FUENTE DE CALOR NO IDENTIFICADA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
martes 9 de enero de 2018;CL 138 SUR 14;00:08;00:46;CT12;;;;;;;;;;1;;;;;;;;0;;1;1;1;;3;1. INCENDIOS ;1.3 FORESTALES;1.3.2 CONATOS DE 0 A 5000 MTS 2;1.3.2.1 VEGETACIÓN NATIVA;;;;;;I. INDETERMINADA;INDETERMINADA;20;2.000;;;;;;;;;;;;;;;
martes 9 de enero de 2018;KR 56B 65 62;00:13;00:21;ME06;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.10 LLAMA ABIERTA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
martes 9 de enero de 2018;AV 1 DE MAYO 29 24;00:03;01:30;ME30;CT02;;;;;;;;;2;;;;;;;;0;;;1;8;;9;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.2 COMERCIO ZONAL;1.1.4.2.1 ALMACENES;;;A.3 CHISPAS ELECTRICAS;ACCIDENTAL;;;1;1;;1;1;;;;;;;;;;
martes 9 de enero de 2018;KR 109B 131;00:11;01:03;ME32;;;;;;;;;;1;R12;;;;;;;1;;;1;7;;8;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.2 INDUSTRIAL;1.1.2.2 BODEGAS;1.1.2.2.1 ALMACENAMIENTO;;;A.7 FALLA EN APARATO ELECTRICO;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
miércoles 10 de enero de 2018;KR 60 4B 24F;00:05;02:51;ME34;MLI02;;;;;;;;;2;;;;;;;;0;;1;1;8;;10;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.3 COMERCIO VECINAL;"1.1.4.3.1 TIENDAS DE BARRIO Y LOCALES DE ACTIVIDAD ECONÓMICA 
LIMITADA EN COMERCIO Y/O SERVICIOS LIMITADOS ( Panaderías, peluquerías, misceláneas, dispensarios, droguerías y otros) ";;;I. INDETERMINADA;INDETERMINADA;;;;1;;;1;;;;;;;;;;
jueves 11 de enero de 2018;CL 69A SUR 64 70;00:09;01:08;ME24;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.2 VEHICULARES;;;;;;1.2.1 VEHICULO  PARTICULAR;1.2.1.1 AUTOMOVIL;P.3 OTROS, CUAL, DESCRIBALA;PROVOCADA;;;2;;;2;;;;;;;;;;;
jueves 11 de enero de 2018;CL 130 96-19;00:07;01:06;ME32;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.2 VEHICULARES;;;;;;1.2.2 VEHICULO DE SERVICIO PUBLICO;1.2.2.5 TAXI;A.12 REACCION QUIMICA EXOTERMICA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
jueves 11 de enero de 2018;KR 53 76-38;00:08;02:44;ME06;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.2 INDUSTRIAL;1.1.2.2 BODEGAS;1.1.2.2.2 DISPOSICIÓN DE MATERIALES;;;A.3 CHISPAS ELECTRICAS;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
viernes 12 de enero de 2018;CL 137 128 09;00:07;01:32;ME32;;;;;;;;;;1;R12;;;;;;;1;;;1;6;;7;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;1;;;1;;;;;;;;;;;
viernes 12 de enero de 2018;CL 62G SUR 75L 50;00:11;01:23;ME24;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.2 SUBNORMAL;;;;I. INDETERMINADA;INDETERMINADA;;;1;4;2;1;4;2;;;;;;;;;
viernes 12 de enero de 2018;CL 6 87;00:07;00:45;ME22;;;;;;;;;;1;;;;;;;;0;;1;;4;;5;1. INCENDIOS ;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;;I. INDETERMINADA;INDETERMINADA;10;1.000;;;;;;;;;;;;;;;
viernes 12 de enero de 2018;CL 80 BIS SUR 16-03;00:09;01:03;ME35;;;;;;;;;;1;;;;;;;;0;;;1;4;;5;1. INCENDIOS ;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1  EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;A.6 FALLA ELECTRICA;ACCIDENTAL;;;;1;;;1;;;;;;;;;;
