FECHA DEL EVENTO;DIRECCIÃ“N ATENCIÃ“N DEL INCIDENTE;LATITUD;LONGITUD;Tiempo de Respuesta;Tiempo total evento;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECURSOS;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TIPO SUBCLASE DE SERVICIO;USO DE LA EDIFICACION ;CLASE DE USO DE LA EDIFICACION ;CLASE DE VEHÃCULO;SUBCLASE DE VEHÃCULO;ÃREA AFECTADA EN MTS2 EVENTOS FORESTALES;ÃREA EXPUESTA EN MTS2 EVENTOS FORESTALES;ORIGEN DE LA CAUSA COLOCAR EL TITULO DE CADA SERVICIO PARA LAS CAUSA;CAUSAS;PoblaciÃ³n Expuesta Hombres;PoblaciÃ³n Expuesta Mujeres;PoblaciÃ³n Expuesta NiÃ±as;PoblaciÃ³n Expuesta NiÃ±os;PoblaciÃ³n Afectada Hombres;PoblaciÃ³n Afectada Mujeres;PoblaciÃ³n Afectada NiÃ±as;PoblaciÃ³n Afectada NiÃ±os;Rescatados Hombres;Rescatados Mujeres;Rescatados NiÃ±as;Rescatados NiÃ±os;Heridos Hombres;Heridos Mujeres;Heridos NiÃ±as;Heridos NiÃ±os;Sin signos vitales Hombres;Sin signos vitales Mujeres;Sin signos vitales NiÃ±as;Sin signos vitales NiÃ±os;
miÃ©rcoles 5 de febrero de 2020;CL 163 62 95;4,747045931000060;-74,064383706999900;0:06:00;0:45:00;ME-20;CT-5;;;;;;2;;;;;;;1;6;;7;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.10 LLAMA ABIERTA;ACCIDENTAL;1;;;;1;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;KR 102A 131 16;4,733598971000050;-74,098094677999900;0:08:00;2:20:00;ME-47;;;;;;;1;;;;;;1;;4;;5;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.3 COMERCIO VECINAL;;;;;1.1.1.10 LLAMA ABIERTA;ACCIDENTAL;;1;;;;1;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;DG 46A SUR 50A 36;4,592760081000050;-74,128950557000000;0:03:00;1:36:00;ME-05;;;;;;;1;;;;;;1;;3;;4;1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;;;;;1.1.1.12 SUPERFICIES CALIENTES;ACCIDENTAL;"
";1;;;;1;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;DG 65 S 86 02;4,618506964999990;-74,191133567000000;0:16:00;1:45:00;ME-28;;;;;;;1;;;;;;1;1;2;;4;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;200;INDETERMINADA;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;CL 49 SUR 72B 33;4,598813123000070;-74,150417603999900;0:12:00;2:53:00;ME-46;CT-6;;;;;;2;;;;;;1;1;6;;8;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;2000;10000;1.3.1.13 OTRAS, CUAL, DESCRIBALA;ACCIDENTAL;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;CL 71 SUR 13 39;4,522810000000000;-74,091391000000000;0:08:00;4:03:00;ME-39;;;;;;;1;;;;;;1;;5;;6;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.2 RESIDUOS VEGETALES;;;;;20;5000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;AK 86 24 0;4,672254920268150;-74,125527064845000;0:09:00;2:09:00;ME-34;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;300;2000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;VEREDA CHORRERAS/CORREGIMIENTO SAN JUAN;#¡VALOR!;#¡VALOR!;10:44:00;23:46:00;CF-04;X-30;TP-2;;;;;3;;;;;1;1;1;4;;7;1. INCENDIOS;1.3 FORESTALES;1.3.3 INCENDIOS MÃS DE 5000 MTS/2;1.3.3.1 VEGETACIÃ“N NATIVA;;;;;;;1.3.2.1 NATURAL, CUAL, DESCRIBALA;NATURAL;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;KR 82A 60 28 SUR;4,615525474324900;-74,185846356215600;0:13:00;3:49:00;ME-28;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;40000;120000;1.3.3.3 OTRAS, CUAL, DESCRIBALA;PROVOCADA;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;CL 54D SUR 67G 86;4,601811671813010;-74,158310533020900;0:24:00;1:35:00;ME-46;;;;;;;1;;;;;;1;;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;10;RIVERA RIO;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;TV 53 2;4,613410943000080;-74,118310305999900;0:02:00;0:30:00;ME-21;;;;;;;1;;;;;;;1;4;;5;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;3;1000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;CL 49 SUR 72B 33;4,598813123000070;-74,150417603999900;0:07:00;1:14:00;CT-6;;;;;;;1;;;;;;;1;1;;2;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;10000;20000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;CL 45A SUR 62F;4,595826447000090;-74,151893012999900;0:11:00;1:49:00;ME-05;;;;;;;1;;;;;;;1;3;;4;1. INCENDIOS;1.3 FORESTALES;1.3.1 QUEMAS;1.3.1.1 PASTOS;;;;;25;INDETERMINADA;1.3.3.3 OTRAS, CUAL, DESCRIBALA;PROVOCADA;;;;;;;;;;;;;;;;;;;;;
jueves 6 de febrero de 2020;KR 5C ESTE 54B 10 SUR;4,535704043000070;-74,092924922000000;0:13:00;0:59:00;ME-06;CT2;;;;;;2;;;;;;2;1;9;;12;1. INCENDIOS;1.3 FORESTALES;1.3.2 CONATOS DE 0 HASTA 5000 MTS/2;1.3.2.5 RETAMO ESPINOSO;;;;;30;2000;1.3.4.1 INDETERMINADA;INDETERMINADA;;;;;;;;;;;;;;;;;;;;;
