FECHA DEL;DIRECCIÓN;Latitud;Longitud;Tiempo de;Tiempo tot;RECURSOS;RECURSOS2;RECURSOS3;RECURSOS4;RECURSOS5;RECURSOS6;RECURSOS7;TOTAL RECU;J1;J2;Cdte.;Sub. Cdte.;Tte.;Sgto.;Cabo;Bro.;Otro;Total;SERVICIO;CLASE DE S;SUBCLASE D;TIPO SUBCL;USO DE LA;CLASE DE U;SUBCLASE_1;CLASE DE V;SUBCLASE_2;ÁREA AFEC;ÁREA EXPU;ORIGEN DE;CAUSAS;Población;Poblaci�_1;Poblaci�_2;Poblaci�_3;Poblaci�_4;Poblaci�_5;Poblaci�_6;Poblaci�_7;Rescatados;Rescatad_1;Rescatad_2;Rescatad_3;Heridos Ho;Heridos Mu;Heridos Ni;Heridos _1;Sin signos;Sin sign_1;Sin sign_2;Sin sign_3;NVA CLASIF;NAME CLAS
"miércoles, 9 de octubre de 2019";KR 30    5    32;"4.604856153000000";"-74.098888220000006";0:04:00;2:08:00;ME-21;CT-1;UR-01;;;;;"3";;;;;;"1";"1";"10";;"12";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.8  FALLA EN APARATO ELECTRONICO;ACCIDENTAL;;"2";;;;"2";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"jueves, 10 de octubre de 2019";CL 153 7;"4.727981317000000";"-74.024980900000003";0:06:00;1:26:00;ME-42;CT-10;;;;;;"2";;;;;;"1";"1";"5";;"7";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.2 VEHÍCULO DE SERVICIO PÚBLICO;1.2.2.5 TAXI;;;1.2.4.1 INDETERMINADA;INDETERMINADA;"1";;;;"1";;;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
"jueves, 10 de octubre de 2019";CL 28 SUR 19B 53;"4.580294948000000";"-74.108869159999998";0:03:00;0:20:00;ME-44;;;;;;;"1";;;;;;;"1";"5";;"6";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.2 VEHÍCULO DE SERVICIO PÚBLICO;1.2.2.5 TAXI;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
"viernes, 11 de octubre de 2019";KR 15B    185A    5;"4.762491384000000";"-74.037063849999996";0:14:00;1:02:00;ME-42;CT-10;;;;;;"2";;;;;;;"2";"5";;"7";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"viernes, 11 de octubre de 2019";KR 30    12    20;"4.612202177000000";"-74.093093359999997";0:27:00;1:20:00;ME-21;CT-1;;;;;;"2";;;;;;"1";"1";"5";;"7";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.2 VEHÍCULO DE SERVICIO PÚBLICO;1.2.2.5 TAXI;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;"1";"1";;;"1";"1";;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
"viernes, 11 de octubre de 2019";CL 63    13    48;"4.649614990000000";"-74.064025479999998";0:04:00;0:42:00;MA-3;;;;;;;"1";;;;;;"1";"2";"1";;"4";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.3 MOTOCICLETA;;;1.2.1.13  SUPERFICIES CALIENTES;ACCIDENTAL;;"1";;;;"1";;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
"sábado, 12 de octubre de 2019";KR 94C    42    50 SUR;"4.643826082000000";"-74.175137269999993";0:07:00;1:36:00;ME-46;CT-6;;;;;;"2";;;;;;;"2";"5";;"7";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.4 COMERCIAL;1.1.4.3 COMERCIO VECINAL;"1.1.4.3.1 TIENDAS DE BARRIO Y LOCALES DE ACTIVIDAD ECONÓMICA LIMITADA EN COMERCIO Y/O SERVICIOS LIMITADOS  ( Panaderías, peluquerías, misceláneas, dispensarios, droguerías y otros)";;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;"1";"1";;;"1";"1";;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"sábado, 12 de octubre de 2019";CL 90   SUR 14J    23  ESTE;"4.501116315000000";"-74.085427580000001";0:14:00;2:25:00;ME-41;CT-11;;;;;;"2";;;;;;;"1";"7";;"8";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"lunes, 14 de octubre de 2019";CL 65A   SUR 82K    2;"4.614980727000000";"-74.190708749999999";0:06:00;1:16:00;ME-28;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"lunes, 14 de octubre de 2019";CL 72A   SUR 40    41;"4.567113243000000";"-74.162412820000000";0:08:00;1:04:00;ME-33;;;;;;;"1";;;;;;;"1";"3";;"4";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"martes, 15 de octubre de 2019";KR 18    58    27;"4.645705682000000";"-74.069144280000003";0:06:00;1:17:00;MA-3;;;;;;;"1";;;;;;"1";"1";"3";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;"1";"1";;;"1";"1";;;;;;;;;;;;;;;"1.2";1.2 Estructuras de mediana altura
"martes, 15 de octubre de 2019";KR 50    71    68;"4.666549511000000";"-74.075213110000007";0:07:00;4:00:00;ME-29;X-33;;;;;;"2";;;;;"1";"1";"1";"5";;"8";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;"4";"1";;;"4";"1";;;;;;;"3";"1";;;;;;;1.1.2;1.1.2 Estructuras Formales
"miércoles, 16 de octubre de 2019";KR 50    39A    85 SUR;"4.594588365000000";"-74.126617060000001";0:07:00;1:35:00;ME-44;CT-12;X-32;;;;;"3";;;;;;"1";"1";"9";;"11";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.6  FALLA ELECTRICA;ACCIDENTAL;"1";;;;"1";;;;;;;;;;;;;;;;1.1.2;1.1.2 Estructuras Formales
"miércoles, 16 de octubre de 2019";CL 80 BIS  SUR 91    90;"4.626127598000000";"-74.207540899999998";0:22:00;2:22:00;ME-22;;;;;;;"1";;;;;;;"1";"4";;"5";1. INCENDIOS;1.1 ESTRUCTURALES;;;1.1.1 VIVIENDA;1.1.1.1 NORMAL;1.1.1.1.1 EDIFICACIÓN BAJA ( DE 1 A 6 PISOS);;;;;1.1.1.10  LLAMA ABIERTA;ACCIDENTAL;;"1";"1";;;"1";"1";;;;;;;;"1";;;;;;1.1.2;1.1.2 Estructuras Formales
"miércoles, 16 de octubre de 2019";KR 5    34    3;"4.620615421000000";"-74.065175870000004";0:12:00;0:46:00;ME-5;;;;;;;"1";;;;;;"1";;"3";;"4";1. INCENDIOS;1.2 VEHICULARES;;;;;;1.2.1 VEHÍCULO  PARTICULAR;1.2.1.1 AUTOMÓVIL;;;1.2.1.6  FALLA ELECTRICA;ACCIDENTAL;"1";"1";;;"1";"1";;;;;;;;;;;;;;;3.1.1;3.1.1 Gasolina / Gas Natural Vehicular
