No,NOMBRE,PROPIETARI,MUNICIPIO,DEPARTAMEN,DIRECCION,PAIS,result_num,status,formatted_,place_id,location_t,latlong
"150",EDS PUENTE AEREO,ESTANDAR ENERGY  COMPANY  S.A.,BOGOT�,CUNDINAMARCA,AVENIDA EL DORADO NO. 97 - 50,COLOMBIA,"0",OK,"Av. El Dorado ##100-97, Bogotá, Cundinamarca, Colombia",ChIJ63AKEaKcP44RKI2dqhzpPeQ,ROOFTOP,"4.6882348,-74.1305405"
"151",EDS SEVILLANA,IMPORTACIONES DOBERMAN LTDA,BOGOT�,CUNDINAMARCA,AC 45 A SUR NO. 59A-35,COLOMBIA,"0",OK,"Ac. 45a Sur #59, Bogotá, Colombia",ChIJxVmlatqeP44RT2Uf5XquFck,ROOFTOP,"4.594603,-74.1371659"
"152",EDS TEXACO 4,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,CARRERA 30 NO. 4 - 51,COLOMBIA,"0",OK,"Ak 30 #4, Bogotá, Colombia",ChIJGc2MmDyZP44RGDbATRPkUVo,ROOFTOP,"4.5989129,-74.105858"
"158",EDS AVENIDA CHILE,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CARRERA 91A NO. 72 - 26,COLOMBIA,"0",OK,"Cra. 91a #72-26, Bogotá, Colombia",ChIJbZqPpE-bP44Rlw0nhgRQbYA,ROOFTOP,"4.6991458,-74.1100057"
"161",EDS GARROLLANTAS,ORGANIZACI�N TERPEL S.A.,BOGOT�,CUNDINAMARCA,AVENIDA 1 NO. 24 -08,COLOMBIA,"0",OK,"Av. 1 de Mayo ##24 D-57, Bogotá, Colombia",ChIJ8cVCzNiYP44RJVe8Z_adk6o,ROOFTOP,"4.585998,-74.1066148"
"169",EDS LA EUROPA,GRUPO LOMA LTDA,BOGOT�,CUNDINAMARCA,AVENIDA BOYAC� NO. 68B - 72,COLOMBIA,"0",OK,"Av. Boyacá #68b-72, Bogotá, Colombia",EiZBdi4gQm95YWPDoSAjNjhiLTcyLCBCb2dvdMOhLCBDb2xvbWJpYSIaEhgKFAoSCW1jQmAUmz-OEcl4UD5KltnKEEg,RANGE_INTERPOLATED,"4.6834639,-74.0971919"
"171",EDS BRIOGAS SUBA,BRIOGAS S.A.,BOGOT�,CUNDINAMARCA,CALLE 145 NO. 94D-90,COLOMBIA,"0",OK,"Cl. 145 #94d-90, Bogotá, Colombia",EiJDbC4gMTQ1ICM5NGQtOTAsIEJvZ290w6EsIENvbG9tYmlhIhoSGAoUChIJkTTTcPqEP44Roc-pWLGtjxMQWg,RANGE_INTERPOLATED,"4.740278099999999,-74.08849289999999"
"172",EDS QUIROGA,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,AVENIDA CARACAS NO. 27 - 25 SUR,COLOMBIA,"0",OK,"Av. Caracas #27-61, Bogotá, Colombia",ChIJCd5DatuYP44RzRRT3LrYI8A,ROOFTOP,"4.579038,-74.1075936"
"183",EDS LA AMERICANA,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,CALLE 13 NO. 57-24,COLOMBIA,"0",OK,"Cl. 13 #57-24, Bogotá, Colombia",ChIJo3KwFeObP44RKKqrjQhb98Y,ROOFTOP,"4.6311737,-74.11061629999999"
"184",EDS DISENERCOM DISTRIBUIDORES DE ENERGIA Y  COMBUSTIBL,DISENERCOM S.A.,BOGOT�,CUNDINAMARCA,CALLE 12 NO. 35-50,COLOMBIA,"0",OK,"Cl. 12 #35-50, Bogotá, Colombia",ChIJ7c_YZGiZP44RgJPghcS4_Do,ROOFTOP,"4.6166,-74.09804749999999"
"185",EDS TEXACO 16,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CARRERA 30 NO. 41-25,COLOMBIA,"0",OK,"Ak 30 ## 41-25, Bogotá, Cundinamarca, Colombia",ChIJGYuc5NObP44RyDUbb40aHtA,ROOFTOP,"4.6322118,-74.0801879"
"186",EDS TEXACO 19,DISTRIBUCOM LTDA,BOGOT�,CUNDINAMARCA,CALLE 19 BIS SUR NO. 32-79,COLOMBIA,"0",OK,"Cl. 19 Bis Sur, San Cristóbal, Bogotá, Colombia",ChIJgyacJO-YP44Ra62dMnOw6II,GEOMETRIC_CENTER,"4.5753578,-74.0935098"
"187",EDS TEXACO 40,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,CALLE 26 SUR NO. 49A-75,COLOMBIA,"0",OK,"Cl. 26 Sur ##95a-49, Bogotá, Colombia",ChIJRVdCaIKdP44RkIocR7gDVVk,ROOFTOP,"4.6500704,-74.1698528"
"190",EDS TEXACO 25,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,DIAGONAL 12 SUR NO. 14B-61 - HOY  DIRECCI�N NUEVA AV. CALLE 11 SUR NO. 15 11. TEL,COLOMBIA,"0",OK,"Tv. 18 bis #14-24, Bogotá, Colombia",ChIJW3UyPOCYP44RC7prwQjcbQc,ROOFTOP,"4.5865694,-74.0988356"
"191",EDS SEXTA ANTIGUA,GAS NATURAL FENOSA,BOGOT�,CUNDINAMARCA,DIAGONAL 6 NO. 16A-14,COLOMBIA,"0",OK,"Dg. 6 Sur #1-6, Bogotá, Colombia",EiFEZy4gNiBTdXIgIzEtNiwgQm9nb3TDoSwgQ29sb21iaWEiGhIYChQKEgnNW50A-Zg_jhEzOnX5yh2kwRAG,RANGE_INTERPOLATED,"4.5794786,-74.07963509999999"
"192",EDS ESSO LOS HEROES,EXXON MOBIL COLOMBIA - AUTOMARKET,BOGOT�,CUNDINAMARCA,AVENIDA 13 NO. 78-77,COLOMBIA,"0",OK,"Cra. 78 #77J-95SUR, Antonio Nariño, Bogotá, Colombia",ChIJDZuPpF-eP44R6nBe6MaU_x8,ROOFTOP,"4.6070867,-74.1728542"
